BOOKING,WK_TYPE,TIME_PERIOD,TIME_PERIOD_SORT,ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP_ID_NEAR,STOP,TRAVEL_DIRECTION,TIMEPOINT,AVG_SEGMENT_MILES,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,AVG_PASSENGER_MILES,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,AVG_SERVICED,MAX_LOAD_P,LAT,LON,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,AVG_SEGMENT_KM
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,10,1006,1006,WHITCOMB/MECHANICSVILLE PIKE,N,0,0.121780303,,,,,,0,0,35,1,6,0.121780303,0,0,0,14,0,534,14,0,0,0,15,1.826704545,0,0,0,2,0,0,0,0.533,0.157894737,37.554111,-77.412237,0,,15,15,0.1959864
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,10,99999,1036,,,0,0,,,,,0.52,1,0,35,1,1,0,0,0,0,1,0,35,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0.028571429,,,0,,1,1,0
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,20,100226,100226,W-MEC,X,-1,,,,,,,0,0,35,1,6,,0,0,0,0,0,534,0,0,0,0,15,,0,0,0,2,0,0,14,0,0.157894737,37.55432,-77.41258,1,,15,15,
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,30,1007,1007,WHITCOMB/DEFOREST,W,0,0.198674242,,,,,0.019285714,0,0,35,1,6,0.238409091,0,0,0,3,0,534,3,0,0,0,18,3.576136364,0,0,0,3,0,0,0,0.2,0.157894737,37.554478,-77.414257,0,,15,15,0.3197352
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,40,1009,1009,WHITCOMB/REDWOOD,W,0,0.165719697,,,,,0.212142857,1,0,35,2,8,0.397727273,0,0,0,18,0,534,18,0,0,0,36,5.965909091,0,0,0,6,0,0,0,0.8,0.210526316,37.55401,-77.417825,0,,15,15,0.2667
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,40,99999,1009,,,0,0,,,,,0.2,2,0,37,3,3,0,0,0,0,2,0,37,2,0,0,0,3,0,0,0,0,8,0,0,0,1,0.081081081,,,0,,1,1,0
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,50,1028,1028,WHITCOMB/LEBANON,W,0,0.115909091,,,,,0,0,0,35,2,8,0.293636364,0,0,0,0,0,534,0,0,0,0,38,4.404545455,0,0,0,7,0,0,0,0,0.210526316,37.55366,-77.420798,0,,15,15,0.1865376
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,60,1029,1029,MECKLENBURG/WOOD,S,0,0.270454545,,,,,0,0,0,35,2,8,0.685151515,0,0,0,0,0,534,0,0,0,0,38,10.27727273,0,0,0,7,0,0,0,0,0.210526316,37.552853,-77.422243,0,,15,15,0.4352544
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,70,2665,2665,OLIVER HILL/HOSPITAL,S,0,0.183712121,,,,,0.022857143,0,0,35,2,8,0.477651515,0,0,0,1,0,534,1,0,0,0,39,7.164772727,0,0,0,7,0,0,0,0.066,0.210526316,37.549767,-77.423977,0,,15,15,0.295656
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,80,2700,2700,FAIRFIELD WAY/ENTRANCE TO CITY JAIL,E,0,0.210416667,,,,,0.389285714,1,0,35,3,18,0.785555556,0,0,0,19,2,534,19,2,0,0,56,11.78333333,0,0,0,10,0,0,0,0.133,0.473684211,37.548092,-77.422791,0,,15,15,0.3386328
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,90,100267,100267,OLV-HL,X,-1,,,,,,1.252142857,0,0,35,3,18,,0,0,0,0,0,534,0,0,0,0,56,,0,0,0,10,,,,0,0.473684211,37.548189,-77.423969,,,15,15,
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,100,1033,1033,HILDRETH/FORD,E,0,0.125189394,,,,,0,0,0,35,4,18,0.559179293,0,0,0,0,0,534,0,0,0,0,67,8.387689394,0,0,0,12,0,0,0,0,0.473684211,37.549534,-77.419886,0,,15,15,0.2014728
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,100,99999,2700,,,0,0,,,,,2.5,6,0,35,7,12,0,0,0,0,12,1,70,12,2,0,0,14,0,0,0,0,20,0,0,0,1,0.342857143,,,0,,2,2,0
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,110,2667,2667,FORD/SUSSEX,E,0,0.178219697,,,,,0,0,0,35,4,18,0.79604798,0,0,0,0,0,534,0,0,0,0,67,11.9407197,0,0,0,12,0,0,0,0,0.473684211,37.549965,-77.417667,0,,15,15,0.2868168
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,110,99999,1036,,,0,0,,,,,0.244,2,0,35,6,16,0,0,0,0,10,0,178,10,0,0,0,32,0,0,0,0,17,0,0,0,1,0.432432432,,,0,,5,5,0
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,120,1036,1036,FORD/MECHANICSVILLE PIKE,E,0,0.226704545,,,,,0.026428571,0,0,35,5,18,1.178863636,0,0,0,1,0,534,1,0,0,0,78,17.68295455,0,0,0,14,0,0,0,0.066,0.473684211,37.549555,-77.41448,0,,15,15,0.3648456
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,120,99999,293,,,0,0,,,,,1.45,1,0,35,17,17,0,0,0,0,1,0,35,1,0,0,0,17,0,0,0,0,48,0,0,0,1,0.485714286,,,0,,1,1,0
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,130,293,293,ACCOMODATION/GAY,W,0,0.131818182,,,,,0,0,0,35,5,18,0.694242424,0,0,0,0,0,534,0,0,0,0,79,10.41363636,0,0,0,14,0,0,0,0,0.473684211,37.548653,-77.417372,0,,15,15,0.2121408
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,130,99999,294,,,0,0,,,,,0.2,1,0,35,8,9,0,0,0,0,2,0,70,2,0,0,0,16,0,0,0,0,22,0,0,0,1,0.257142857,,,0,,2,2,0
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,140,294,294,COALTER/RICHMOND,S,0,0.13030303,,,,,0,0,0,35,5,18,0.703636364,0,0,0,0,0,534,0,0,0,0,81,10.55454545,0,0,0,15,0,0,0,0,0.473684211,37.547632,-77.418907,0,,15,15,0.2097024
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,150,295,295,COALTER/REDD,S,0,0.242992424,,,,,0.015714286,0,0,35,5,18,1.312159091,0,0,0,0,0,534,0,0,0,0,81,19.68238636,0,0,0,15,0,0,0,0,0.473684211,37.545883,-77.419662,0,,15,15,0.3910584
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,160,100025,100025,COR,X,-1,,,,,,0.826428571,0,0,35,5,18,,0,0,0,0,0,534,0,0,0,0,81,,0,0,0,15,2,2,10,0,0.473684211,37.546082,-77.419426,0.714,,15,15,
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,170,2813,2813,MECHANICSVILLE PIKE/LITTLEPAGE,S,0,0.208712121,,,,,0,0,0,35,6,19,1.294015152,0,0,0,0,0,534,0,0,0,0,93,19.41022727,0,0,0,17,0,0,0,0,0.5,37.5438,-77.417341,0,,15,15,0.3358896
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,170,99999,295,,,0,0,,,,,0.255,1,0,36,6,18,0,0,0,0,7,0,217,7,0,0,0,38,0,0,0,0,17,0,0,0,1,0.473684211,,,0,,6,6,0
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,170,99999,1041,,,0,0,,,,,0.2525,1,0,34,9,20,0,0,0,0,6,0,139,6,0,0,0,36,0,0,0,0,25,0,0,0,1,0.540540541,,,0,,4,4,0
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,170,99999,2813,,,0,0,,,,,0.2175,1,0,34,8,19,0,0,0,0,5,0,139,5,0,0,0,32,0,0,0,0,23,0,0,0,1,0.542857143,,,0,,4,4,0
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,180,1041,1041,MOSBY/P,S,0,0.88655303,,,,,0.005384615,0,0,35,6,20,5.85125,0,0,0,0,0,534,0,0,0,1,99,87.76875,0,0,0,18,0,0,0,0,0.526315789,37.54139,-77.419645,0,,15,15,1.4267688
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,180,99999,674,,,0,0,,,,,0.03,0,1,37,6,6,0,0,0,0,0,1,37,0,0,0,1,6,0,0,0,0,16,0,0,0,1,0.162162162,,,0,,1,1,0
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,190,674,674,10TH/MARSHALL,S,0,0.082954545,,,,,0.065,0,0,35,6,20,0.525378788,0,0,0,0,3,534,0,2,0,2,95,7.880681818,0,0,0,17,0,0,0,0.133,0.526315789,37.540721,-77.432685,0,,15,15,0.1335024
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,190,99999,674,,,0,0,,,,,0.08,0,0,37,4,4,0,0,0,0,0,0,37,0,1,0,0,4,0,0,0,0,10,0,0,0,0,0.108108108,,,0,,1,1,0
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,200,125,125,BROAD/9TH,W,0,0.045833333,,,,,0.093333333,0,0,35,6,20,0.284166667,0,0,0,0,2,534,0,0,0,2,93,4.2625,0,0,0,17,0,0,0,0.066,0.526315789,37.54079,-77.433617,0,,15,15,0.0737616
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,210,3428,3428,9th/Marshall (Mid-block between Marshall +Broad,N,0,0.102462121,,,,,3,0,0,35,6,20,0.635265152,0,0,0,3,3,534,3,3,0,0,93,9.528977273,0,0,0,17,0,0,0,0.066,0.526315789,37.541163,-77.433362,0,,15,15,0.1648968
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,210,99999,2644,,,0,0,,,,,8.55,2,5,37,3,3,0,0,0,0,2,5,37,2,5,0,0,3,0,0,0,0,8,0,0,0,1,0.081081081,,,0,,1,1,0
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,220,2644,2644,TRANSFER PLAZA BAY E,N,0,0.273295455,,,,,0.02,0,0,35,5,20,1.62155303,0,0,0,0,1,534,0,1,0,0,89,24.32329545,0,0,0,16,0,0,0,0.066,0.526315789,37.542387,-77.432306,0,,15,15,0.4398264
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,230,100262,100262,BAY-E,X,-1,,,,,,9.266666667,0,0,35,5,20,,0,0,0,0,0,534,0,0,0,0,89,,0,0,0,16,,,,0,0.526315789,37.542593,-77.43228,,,15,15,
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,240,922,922,8TH/CLAY,S,0,0.085795455,,,,,1.833333333,0,0,35,5,19,0.480454545,0,0,0,1,6,534,1,8,0,3,84,7.206818182,0,0,0,15,0,0,0,0.2,0.5,37.542883,-77.433374,0,,15,15,0.1380744
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,240,99999,922,,,0,0,,,,,0.17,0,1,37,5,5,0,0,0,0,0,1,37,0,1,0,0,5,0,0,0,0,13,0,0,0,1,0.135135135,,,0,,1,1,0
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,240,99999,2644,,,0,0,,,,,3.38,1,3,35,1,3,0,0,0,0,5,15,140,5,14,0,1,7,0,0,0,0,5,0,0,0,1,0.085714286,,,0,,4,4,0
2018-09,SUN,AM Early,1,5,5:5,WEST,,,,,250,298,298,8TH/MARSHALL,S,0,0.13844697,,,,,3.709333333,0,0,35,4,15,0.553787879,0,0,0,1,14,534,1,9,0,6,60,8.306818182,0,0,0,11,0,0,0,0.2,0.394736842,37.541891,-77.43432,0,,15,15,0.2228088
