BOOKING,WK_TYPE,TIME_PERIOD,TIME_PERIOD_SORT,ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP_ID_NEAR,STOP,TRAVEL_DIRECTION,TIMEPOINT,AVG_SEGMENT_MILES,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,AVG_PASSENGER_MILES,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,AVG_SERVICED,MAX_LOAD_P,LAT,LON,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,AVG_SEGMENT_KM
2019-01-v2,SUN,AM Early,1,5,5:5,WEST,,,,,10,100226,100226,W-MEC,X,-1,,,,,,,0,0,36,0,0,,0,0,0,0,0,291,0,0,0,0,0,,0,0,0,0,0,0,7,0,0,37.55432,-77.41258,1,,8,8,
2019-01-v2,SUN,AM Early,1,5,5:5,WEST,,,,,20,1006,1006,WHITCOMB/MECHANICSVILLE PIKE,N,0,0.121022727,,,,,,0,0,36,0,3,0.105894886,0,0,0,7,0,291,7,0,0,0,7,0.847159091,0,0,0,2,0,0,0,0.5,0.078947368,37.554111,-77.412237,0,,8,8,0.1947672
2019-01-v2,SUN,AM Early,1,5,5:5,WEST,,,,,30,1007,1007,WHITCOMB/DEFOREST,W,0,0.198674242,,,,,0,0,0,36,0,3,0.173839962,0,0,0,0,0,291,0,0,0,0,7,1.390719697,0,0,0,2,0,0,0,0,0.078947368,37.554478,-77.414257,0,,8,8,0.3197352
2019-01-v2,SUN,AM Early,1,5,5:5,WEST,,,,,40,1009,1009,WHITCOMB/REDWOOD,W,0,0.165719697,,,,,0.4725,2,0,36,2,5,0.476444129,0,0,0,16,0,291,16,0,0,0,23,3.81155303,0,0,0,7,0,0,0,1,0.131578947,37.55401,-77.417825,0,,8,8,0.2667
2019-01-v2,SUN,AM Early,1,5,5:5,WEST,,,,,50,1028,1028,WHITCOMB/LEBANON,W,0,0.115909091,,,,,0,0,0,36,2,5,0.333238636,0,0,0,0,0,291,0,0,0,0,23,2.665909091,0,0,0,7,0,0,0,0,0.131578947,37.55366,-77.420798,0,,8,8,0.1865376
2019-01-v2,SUN,AM Early,1,5,5:5,WEST,,,,,60,1029,1029,MECKLENBURG/WOOD,S,0,0.270454545,,,,,0,0,0,36,2,5,0.777556818,0,0,0,0,0,291,0,0,0,0,23,6.220454545,0,0,0,7,0,0,0,0,0.131578947,37.552853,-77.422243,0,,8,8,0.4352544
2019-01-v2,SUN,AM Early,1,5,5:5,WEST,,,,,70,2665,2665,OLIVER HILL/HOSPITAL,S,0,0.183712121,,,,,0,0,0,36,2,5,0.528172348,0,0,0,0,0,291,0,0,0,0,23,4.225378788,0,0,0,7,0,0,0,0,0.131578947,37.549767,-77.423977,0,,8,8,0.295656
2019-01-v2,SUN,AM Early,1,5,5:5,WEST,,,,,80,100267,100267,OLV-HL,X,-1,,,,,,0.50375,0,0,36,2,5,,0,0,0,0,0,291,0,0,0,0,23,,0,0,0,7,,,,0,0.131578947,37.548189,-77.423969,,,8,8,
2019-01-v2,SUN,AM Early,1,5,5:5,WEST,,,,,90,2700,2700,FAIRFIELD WAY/ENTRANCE TO CITY JAIL,E,0,0.208143939,,,,,0,0,0,36,2,5,0.598413826,0,0,0,0,0,291,0,0,0,0,23,4.787310606,0,0,0,7,0,0,0,0,0.131578947,37.548092,-77.422791,0,,8,8,0.3349752
2019-01-v2,SUN,AM Early,1,5,5:5,WEST,,,,,100,1033,1033,HILDRETH/FORD,E,0,0.125189394,,,,,0,0,0,36,3,5,0.375568182,0,0,0,0,0,291,0,0,0,0,24,3.004545455,0,0,0,8,0,0,0,0,0.131578947,37.549534,-77.419886,0,,8,8,0.2014728
