BOOKING,WK_TYPE,TIME_PERIOD,TIME_PERIOD_SORT,ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP_ID_NEAR,STOP,TRAVEL_DIRECTION,TIMEPOINT,AVG_SEGMENT_MILES,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,AVG_PASSENGER_MILES,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,AVG_SERVICED,MAX_LOAD_P,LAT,LON,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,AVG_SEGMENT_KM
2019-05v2,SAT,AM Early,1,5,5:5,WEST,,,,,10,100226,100226,W-MEC,X,-1,,,,,,,0,0,36,0,0,,0,0,0,0,0,361,0,0,0,0,0,,0,0,0,0,0,0,7,0,0,37.55432,-77.41258,1,,10,10,
2019-05v2,SAT,AM Early,1,5,5:5,WEST,,,,,20,1006,1006,WHITCOMB/MECHANICSVILLE PIKE,W,0,0.125,,,,,,2,0,36,2,11,0.3125,0,0,0,25,0,361,25,8,0,0,25,3.125,0,0,0,6,0,0,0,0.7,0.289473684,37.554111,-77.412237,0,,10,10,0.201168
2019-05v2,SAT,AM Early,1,5,5:5,WEST,,,,,30,1007,1007,WHITCOMB/DEFOREST,W,0,0.205113636,,,,,0.063,0,0,36,3,11,0.615340909,0,0,0,5,0,361,5,0,0,0,30,6.153409091,0,0,0,8,0,0,0,0.4,0.289473684,37.554478,-77.414257,0,,10,10,0.3300984
2019-05v2,SAT,AM Early,1,5,5:5,WEST,,,,,40,1009,1009,WHITCOMB/REDWOOD,W,0,0.174810606,,,,,0.499,1,0,36,4,13,0.85657197,0,0,0,19,0,361,19,0,0,0,49,8.565719697,0,0,0,13,0,0,0,0.9,0.342105263,37.55401,-77.417825,0,,10,10,0.2813304
2019-05v2,SAT,AM Early,1,5,5:5,WEST,,,,,50,1028,1028,WHITCOMB/LEBANON,W,0,0.128977273,,,,,0,0,0,36,4,13,0.631988636,0,0,0,0,0,361,0,0,0,0,49,6.319886364,0,0,0,13,0,0,0,0,0.342105263,37.55366,-77.420798,0,,10,10,0.2075688
2019-05v2,SAT,AM Early,1,5,5:5,WEST,,,,,60,1029,1029,MECKLENBURG/WOOD,S,0,0.277462121,,,,,0,0,0,36,4,13,1.359564394,0,0,0,0,0,361,0,0,0,0,49,13.59564394,0,0,0,13,0,0,0,0,0.342105263,37.552853,-77.422243,0,,10,10,0.446532
2019-05v2,SAT,AM Early,1,5,5:5,WEST,,,,,70,2665,2665,OLIVER HILL/HOSPITAL,S,0,0.186174242,,,,,0,0,0,36,4,13,0.912253788,0,0,0,0,0,361,0,0,0,0,49,9.122537879,0,0,0,13,0,0,0,0,0.342105263,37.549767,-77.423977,0,,10,10,0.2996184
2019-05v2,SAT,AM Early,1,5,5:5,WEST,,,,,80,100267,100267,OLV-HL,X,-1,,,,,,0.31,0,0,36,4,13,,0,0,0,0,0,361,0,0,0,0,49,,0,0,0,13,,,,0,0.342105263,37.548189,-77.423969,,,10,10,
2019-05v2,SAT,AM Early,1,5,5:5,WEST,,,,,90,2700,2700,FAIRFIELD WAY/ENTRANCE TO CITY JAIL,E,0,0.211363636,,,,,0,0,0,36,4,13,1.035681818,0,0,0,0,0,361,0,0,0,0,49,10.35681818,0,0,0,13,0,0,0,0,0.342105263,37.548092,-77.422791,0,,10,10,0.3401568
2019-05v2,SAT,AM Early,1,5,5:5,WEST,,,,,100,1033,1033,HILDRETH/FORD,E,0,0.128787879,,,,,0,0,0,36,4,13,0.631060606,0,0,0,0,0,361,0,0,0,0,49,6.310606061,0,0,0,13,0,0,0,0,0.342105263,37.549534,-77.419886,0,,10,10,0.207264
