AVG_PASSENGERS_OFF,AVG_PASSENGERS_ON,AVG_PASSENGER_MILES,AVG_SEGMENT_MILES,SUM_PASSENGERS_OFF,SUM_PASSENGERS_ON,SUM_PASSENGER_MILES,TIME_PERIOD_SORT,TRIPS_COUNT,SERVICE_TYPE
0,1,0.276239669,0.14469697,0,21,3.038636364,1,11,0
0,0,0,0,0,0,0,1,1,0
0,0,0.516683884,0.270643939,0,0,5.683522727,1,11,0
0,0,0.592613636,0.310416667,0,0,6.51875,1,11,0
0,0,0.343371212,0.098106061,0,0,0.686742424,1,2,0
0,0,0.163510101,0.098106061,0,1,1.471590909,1,9,0
0,0,0.518336777,0.211174242,0,3,5.701704545,1,11,0
0,2,0,0,0,2,0,1,1,0
0,0,0.277995868,0.113257576,0,0,3.057954545,1,11,0
0,0,0.269628099,0.109848485,0,0,2.965909091,1,11,0
0,0,1.041322314,0.424242424,0,0,11.45454545,1,11,0
0,0,0.582954545,0.194318182,0,6,6.4125,1,11,0
0,1,0.470041322,0.103409091,0,17,5.170454545,1,11,0
0,0,0.612086777,0.134659091,0,0,6.732954545,1,11,0
0,0,2.289944904,0.503787879,0,0,25.18939394,1,11,0
0,0,1.094077135,0.231439394,0,2,12.03484848,1,11,0
0,0,0.918595041,0.194318182,0,0,10.10454545,1,11,0
0,0,1.088653581,0.22594697,0,1,11.97518939,1,11,0
0,0,1.387964876,0.288068182,0,0,15.26761364,1,11,0
0,0,0.812155647,0.168560606,0,0,8.933712121,1,11,0
0,0,8.198209366,1.701515152,0,0,90.18030303,1,11,0
0,0,0.989187328,0.20530303,0,0,10.88106061,1,11,0
0,0,0.898898072,0.190151515,1,0,9.887878788,1,11,0
0,0,0,0,0,0,0,1,1,0
0,0,0.436019284,0.092234848,0,0,4.796212121,1,11,0
0,1,0,0,0,1,0,1,1,0
0,0,1.168956612,0.242613636,0,0,12.85852273,1,11,0
0,0,0,0,2,1,0,1,5,0
0,0,0.687603306,0.145454545,0,0,7.563636364,1,11,0
0,0,0.507575758,0.126893939,8,0,5.583333333,1,11,0
0,0,0,0,0,0,0,1,2,0
0,0,0.706060606,0.176515152,0,0,7.766666667,1,11,0
0,0,0.301394628,0.073674242,0,1,3.315340909,1,11,0
0,0,0.56947314,0.139204545,0,0,6.264204545,1,11,0
0,0,0.387396694,0.085227273,0,5,4.261363636,1,11,0
0,1,0,0,0,1,0,1,1,0
0,0,0.932541322,0.201136364,0,0,10.25795455,1,11,0
0,0,1.102892562,0.237878788,0,0,12.13181818,1,11,0
2,0,0.894421488,0.273295455,25,10,9.838636364,1,11,0
0,0,0.822865014,0.312121212,5,0,9.051515152,1,11,0
1,0,0,0,3,1,0,1,2,0
0,1,0,0,0,1,0,1,1,0
0,0,0.481818182,0.160606061,0,3,5.3,1,11,0
