ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,SORT_ORDER,STOP_ID,STOP,LAT,LON
5,5:05,EAST,10,3609,Cary/Nansemond,37.555349,-77.486931
5,5:05,EAST,20,3609,Cary/Nansemond,37.555349,-77.486931
5,5:05,EAST,30,3604,Cary/Freeman,37.554544,-77.484724
5,5:05,EAST,40,3608,Cary/McCloy,37.55365,-77.482218
5,5:05,EAST,50,331,CARY/BELMONT,37.552827,-77.480022
5,5:05,EAST,60,332,CARY/SHEPPARD,37.552382,-77.478512
5,5:05,EAST,70,333,CARY/BOULEVARD,37.551618,-77.476405
5,5:05,EAST,80,3473,Cary/Robinson,37.550647,-77.473743
5,5:05,EAST,90,3473,Cary/Robinson,37.550647,-77.473743
5,5:05,EAST,100,3472,Cary/Addison,37.549457,-77.470417
5,5:05,EAST,110,3611,Cary/Rowland,37.548527,-77.467836
5,5:05,EAST,120,2529,CARY/GRANBY,37.547494,-77.464959
5,5:05,EAST,130,3607,Cary/Lombardy,37.546267,-77.461362
5,5:05,EAST,140,3610,Cary/Randolph,37.545136,-77.458266
5,5:05,EAST,150,3605,Cary/Harrison,37.544486,-77.455505
5,5:05,EAST,160,3606,Cary/Laurel,37.544494,-77.451787
5,5:05,EAST,170,3606,Cary/Laurel,37.544494,-77.451787
5,5:05,EAST,180,3602,Cary/Belvidere,37.543991,-77.448296
5,5:05,EAST,190,3603,Cary/Foushee,37.542268,-77.445437
5,5:05,EAST,200,350,CARY/3RD,37.540618,-77.442692
5,5:05,EAST,210,2473,CARY/6TH,37.538994,-77.44
5,5:05,EAST,220,1148,CARY/8TH,37.538037,-77.43833
5,5:05,EAST,230,1149,9TH/CARY,37.537702,-77.436692
5,5:05,EAST,240,1149,9TH/CARY,37.537702,-77.436692
5,5:05,EAST,250,826,9TH/MAIN,37.538421,-77.436012
5,5:05,EAST,260,3428,9th/Marshall (Mid-block between Marshall +Broad,37.541163,-77.433362
5,5:05,EAST,270,2628,TRANSFER PLAZA BAY I,37.542995,-77.431837
5,5:05,EAST,280,2628,TRANSFER PLAZA BAY I,37.542995,-77.431837
5,5:05,EAST,290,998,MOSBY/P,37.541795,-77.419128
5,5:05,EAST,290,3705,Leigh/11th  EB,37.542511,-77.429163
5,5:05,EAST,300,3042,MOSBY/FAIRMOUNT,37.543917,-77.417102
5,5:05,EAST,300,998,MOSBY/P,37.541795,-77.419128
5,5:05,EAST,310,3044,MECHANICSVILLE PIKE/BRAUERS LANE,37.546755,-77.415752
5,5:05,EAST,310,3042,MOSBY/FAIRMOUNT,37.543917,-77.417102
5,5:05,EAST,320,3045,MECHANICSVILLE PIKE/FAIRFIELD,37.548648,-77.414533
5,5:05,EAST,320,3044,MECHANICSVILLE PIKE/BRAUERS LANE,37.546755,-77.415752
5,5:05,EAST,330,1004,MECHANICSVILLE PIKE/CARVER,37.550652,-77.413335
5,5:05,EAST,330,3045,MECHANICSVILLE PIKE/FAIRFIELD,37.548648,-77.414533
5,5:05,EAST,340,1005,MECHANICSVILLE PIKE/PHAUP,37.552278,-77.412318
5,5:05,EAST,340,1004,MECHANICSVILLE PIKE/CARVER,37.550652,-77.413335
5,5:05,EAST,350,1006,WHITCOMB/MECHANICSVILLE PIKE,37.554111,-77.412237
5,5:05,EAST,350,1005,MECHANICSVILLE PIKE/PHAUP,37.552278,-77.412318
5,5:05,EAST,360,1006,WHITCOMB/MECHANICSVILLE PIKE,37.554111,-77.412237
5,5:05,EAST,370,1006,WHITCOMB/MECHANICSVILLE PIKE,37.554111,-77.412237
5,5:05,WEST,10,1006,WHITCOMB/MECHANICSVILLE PIKE,37.554111,-77.412237
5,5:05,WEST,20,1006,WHITCOMB/MECHANICSVILLE PIKE,37.554111,-77.412237
5,5:05,WEST,30,1007,WHITCOMB/DEFOREST,37.554478,-77.414257
5,5:05,WEST,40,1009,WHITCOMB/REDWOOD,37.55401,-77.417825
5,5:05,WEST,50,1028,WHITCOMB/LEBANON,37.55366,-77.420798
5,5:05,WEST,60,1029,MECKLENBURG/WOOD,37.552853,-77.422243
5,5:05,WEST,70,2665,OLIVER HILL/HOSPITAL,37.549767,-77.423977
5,5:05,WEST,80,2700,FAIRFIELD WAY/ENTRANCE TO CITY JAIL,37.548092,-77.422791
5,5:05,WEST,90,2700,FAIRFIELD WAY/ENTRANCE TO CITY JAIL,37.548092,-77.422791
5,5:05,WEST,100,1033,HILDRETH/FORD,37.549534,-77.419886
5,5:05,WEST,110,2667,FORD/SUSSEX,37.549965,-77.417667
5,5:05,WEST,120,1036,FORD/MECHANICSVILLE PIKE,37.549555,-77.41448
