STOP_ID,STOP,LAT,LON
9,THREE CHOPT/DRIVE TO D FREEMAN HIGH SCHOOL,37.602592,-77.558135
10,THREE CHOPT/CAMDEN,37.601768,-77.554793
11,THREE CHOPT/BEVERLY,37.600867,-77.55126
12,SANTA ROSA/THREE CHOPT,37.600843,-77.548153
13,SANTA ROSA/FRANKLIN FARMS,37.602115,-77.548128
14,ROLLING HILLS/DISCOVERY,37.602838,-77.546095
15,FOREST/HENRICO DOCTORS HOSPITAL,37.605132,-77.539888
16,SKIPWITH/SCHOOL BUILDING,37.603553,-77.537822
17,SKIPWITH/PARKLINE,37.599107,-77.537681
18,THREE CHOPT/SKIPWITH,37.59712,-77.537297
19,THREE CHOPT/PARK,37.593047,-77.531742
20,PATTERSON/THREE CHOPT,37.590503,-77.530938
21,PATTERSON/RIPLEY,37.589392,-77.529287
22,PATTERSON/HONAKER,37.587675,-77.526758
23,PATTERSON/CHANTECLER,37.585945,-77.524229
25,PATTERSON/PEPPER,37.584043,-77.52137
26,PATTERSON/ALGOMA,37.581922,-77.518208
27,PATTERSON/MAPLE,37.580834,-77.51667
28,PATTERSON/LIBBIE,37.580074,-77.515527
29,PATTERSON/GRANITE,37.578523,-77.513217
31,PATTERSON/MATOAKA,37.576462,-77.509783
32,PATTERSON/WILLOW LAWN,37.575937,-77.508767
33,PATTERSON/GREENWAY LANE,37.575015,-77.506947
34,PATTERSON/HARLAN CIRCLE,37.574033,-77.505047
35,PATTERSON/LEXINGTON,37.573275,-77.503568
37,PATTERSON/BUNTING,37.571545,-77.500215
38,PATTERSON/WESTMORELAND,37.569635,-77.496463
40,PATTERSON/SAUER,37.567485,-77.49246
41,PATTERSON/MALVERN,37.56605,-77.489518
43,PATTERSON/HAMILTON,37.564198,-77.485973
44,PATTERSON/THOMPSON,37.56288,-77.483303
45,PATTERSON/ROSENEATH,37.561742,-77.481182
47,PATTERSON/CLEVELAND,37.560897,-77.477502
48,PATTERSON/BELMONT,37.560658,-77.475395
49,SHEPPARD/PARK,37.560725,-77.474045
50,SHEPPARD/MONUMENT,37.561488,-77.473322
51,SHEPPARD/GRACE,37.562708,-77.472137
52,BROAD/SHEPPARD,37.56307,-77.471335
53,BROAD/BOULEVARD,37.562053,-77.46957
54,BROAD/ROBINSON,37.560515,-77.467057
55,BREMO/MONUMENT,37.584563,-77.512946
56,MONUMENT/LIBBIE,37.583768,-77.510498
77,BROAD/ALLISON,37.557808,-77.462608
81,BROAD/RYLAND,37.552667,-77.453978
84,BROAD/LAUREL,37.549331,-77.44841
85,BROAD/HENRY,37.548248,-77.446443
91,BROAD/4TH,37.543527,-77.438515
95,BROAD/10TH,37.540049,-77.43282
100,BROAD/18TH,37.535568,-77.425369
101,BROAD/19TH,37.53498,-77.4244
103,MARSHALL/22ND,37.534144,-77.420799
104,MARSHALL/24TH,37.53285,-77.418597
106,MARSHALL/27TH,37.53144,-77.41634
107,MARSHALL/29TH,37.530307,-77.414488
108,MARSHALL/31ST,37.529198,-77.412692
109,MARSHALL/33RD,37.528102,-77.410903
111,CHIMBORAZO BOULEVARD/LEIGH,37.529057,-77.408281
113,CHIMBORAZO BOULEVARD/N,37.530863,-77.406532
114,CHIMBORAZO BOULEVARD/O,37.53202,-77.405403
116,P/35TH,37.531952,-77.403623
117,R/36TH,37.53233,-77.401398
119,21ST/MARSHALL,37.534149,-77.422238
120,BROAD/19TH,37.534962,-77.424151
122,BROAD/17TH,37.536062,-77.425916
125,BROAD/9TH,37.54079,-77.433617
128,BROAD/4TH,37.543761,-77.438541
134,BROAD/HENRY,37.548473,-77.446407
135,BROAD/GILMER,37.549384,-77.447967
138,BROAD/RYLAND,37.552809,-77.453686
139,BROAD/BOWE,37.554009,-77.455701
145,BROAD/ROBINSON,37.560809,-77.467093
146,OAKWOOD/Q,37.533365,-77.403653
147,CHIMBORAZO BOULEVARD/P,37.532528,-77.40511
148,CHIMBORAZO BOULEVARD/N,37.531142,-77.406422
150,CHIMBORAZO BOULEVARD/LEIGH,37.529382,-77.408098
151,MARSHALL/CHIMBORAZO BOULEVARD,37.527728,-77.409997
152,MARSHALL/33RD,37.528376,-77.411059
153,MARSHALL/31ST,37.52914,-77.412301
154,MARSHALL/29TH,37.530203,-77.414138
155,MARSHALL/27TH,37.531377,-77.416053
156,MARSHALL/25TH,37.532732,-77.418255
157,MARSHALL/23RD,37.53436,-77.420871
158,35TH/CANEPA,37.533125,-77.399413
162,OAKWOOD/BOXLEY,37.534292,-77.39853
168,SHEPPARD/MONUMENT,37.561922,-77.473054
184,Monument/Westlyn,37.577894,-77.500076
187,LIBBIE/MONUMENT,37.58398,-77.509768
189,LIBBIE/FITZHUGH,37.586612,-77.507124
191,LIBBIE/CONVALESCENT CENTER,37.588752,-77.505087
192,LIBBIE/FITZHUGH,37.587222,-77.506803
194,LIBBIE/MORNINGSIDE,37.584262,-77.509657
195,WILLOW LAWN/WYTHE,37.578205,-77.502615
202,Idlewood/Temple,37.543856,-77.462489
204,IDLEWOOD/RANDOLPH,37.542971,-77.459959
205,HARRISON/GRAYLAND,37.542417,-77.456907
206,HARRISON/CARY,37.54439,-77.455862
207,HARRISON/MAIN,37.545713,-77.455185
208,HARRISON/GROVE,37.54839,-77.455232
209,HARRISON/FRANKLIN,37.549649,-77.454307
210,HARRISON/GRACE,37.550787,-77.453152
211,JEFFERSON/MARSHALL,37.534692,-77.420866
212,JEFFERSON/23RD,37.534815,-77.418836
213,JEFFERSON/25TH,37.535007,-77.41595
214,M/27TH,37.534043,-77.413907
215,M/29TH,37.532668,-77.411667
228,Kane/29th,37.546696,-77.397805
229,CREIGHTON/KANE,37.545685,-77.397902
230,CREIGHTON AT COMMUNITY CENTER,37.544803,-77.398878
232,CREIGHTON/NINE MILE,37.54261,-77.400332
233,NINE MILE/30TH,37.541732,-77.401763
234,NINE MILE/29TH,37.541473,-77.403433
235,28TH/U,37.540387,-77.406219
241,M/30TH,37.532666,-77.411318
242,M/27TH,37.53396,-77.413451
244,JEFFERSON/23RD,37.535,-77.418215
245,HARRISON/BROAD,37.551607,-77.452675
246,HARRISON/FRANKLIN,37.550037,-77.454105
247,HARRISON/PARK,37.549003,-77.45505
249,HARRISON/MAIN,37.545558,-77.455377
251,HARRISON/PARKWOOD,37.543722,-77.456405
252,HARRISON/IDLEWOOD,37.542118,-77.457283
253,IDLEWOOD/RANDOLPH,37.542979,-77.459785
257,LOMBARDY/BETWEEN LAKEVIEW AND CLAIBORNE,37.541147,-77.464055
263,COLORADO/COLORADO MANOR,37.537452,-77.468052
278,CARY/10TH,37.536502,-77.435829
279,MAIN/13TH,37.536259,-77.433173
280,MAIN/14TH,37.535295,-77.431702
293,ACCOMODATION/GAY,37.548653,-77.417372
294,COALTER/RICHMOND,37.547632,-77.418907
295,COALTER/REDD,37.545883,-77.419662
296,7TH/MARSHALL,37.542527,-77.434865
297,MARSHALL/7TH,37.542469,-77.434554
298,8TH/MARSHALL,37.541891,-77.43432
304,17TH/MARSHALL,37.536748,-77.425495
307,MAIN/17TH,37.533863,-77.429037
309,MAIN/13TH,37.53626,-77.432866
310,MAIN/11TH,37.537213,-77.434363
311,MAIN/10TH,37.538202,-77.436136
312,MAIN/8TH,37.538738,-77.437021
313,7TH/FRANKLIN,37.540019,-77.437346
331,CARY/BELMONT,37.552827,-77.480022
332,CARY/SHEPPARD,37.552382,-77.478512
333,CARY/BOULEVARD,37.551618,-77.476405
350,CARY/3RD,37.540618,-77.442692
354,MAIN/18TH,37.532727,-77.427473
356,MAIN/21ST,37.531082,-77.424763
362,MARSHALL/CHIMBORAZO BOULEVARD,37.527013,-77.409102
398,MAIN/25TH,37.529325,-77.421505
400,MAIN/21ST,37.531282,-77.424708
402,MAIN/18TH,37.532809,-77.427335
405,5TH/MAIN,37.540595,-77.439752
422,MAIN/ROBINSON,37.552209,-77.473115
423,MAIN/BOULEVARD,37.552683,-77.475383
425,ELLWOOD/SHEPPARD,37.553585,-77.478065
426,ELLWOOD/BELMONT,37.554205,-77.479667
428,ELLWOOD/DOOLEY,37.555382,-77.483002
453,CAMPUS/BOSTWICK LANE,37.579097,-77.532722
455,CAMPUS/ROSELAWN,37.578339,-77.528091
456,CAMPUS/THREE CHOPT,37.577047,-77.526482
459,GROVE/THREE CHOPT,37.572733,-77.523047
464,GROVE/SENECA,37.572627,-77.5148
466,GROVE/TUCKAHOE,37.571372,-77.512295
468,GROVE/ROSLYN,37.570195,-77.509714
470,GROVE/LEXINGTON,37.568777,-77.506732
473,GROVE/WEST LOCKE LANE,37.56688,-77.502758
476,GROVE/WESTMORELAND,37.565502,-77.499882
477,GROVE/COMMONWEALTH,37.564692,-77.498172
480,GROVE/ANTRIM,37.563274,-77.49521
481,GROVE/MALVERN,37.562053,-77.492665
483,GROVE/HAMILTON,37.560737,-77.48982
484,GROVE/THOMPSON,37.559485,-77.487197
485,GROVE/NANSEMOND,37.55846,-77.484343
487,GROVE/AUBURN,37.557213,-77.480823
488,GROVE/BELMONT,37.556347,-77.478337
490,GROVE/BOULEVARD,37.554973,-77.474672
539,ROBINSON/HANOVER,37.554955,-77.47162
540,GROVE/ROBINSON,37.554257,-77.472335
541,GROVE/BOULEVARD,37.555115,-77.474783
543,GROVE/BELMONT,37.556287,-77.478042
544,GROVE/TILDEN,37.5573,-77.481
545,GROVE/ROSENEATH,37.557928,-77.482643
546,GROVE/NANSEMOND,37.558615,-77.484543
547,GROVE/THOMPSON,37.559462,-77.486895
548,GROVE/HAMILTON,37.560716,-77.489392
550,GROVE/MALVERN,37.562068,-77.492268
552,GROVE/SAUER,37.563423,-77.495105
554,GROVE/COMMONWEALTH,37.564732,-77.497823
